price,baths,area,bedrooms,price_per_sqft,city_location
10000000,3,1361.2549999999999,3,7346.162181222476,Faisalabad_Eden Orchard
10000000,3,1361.2549999999999,3,7346.162181222476,Faisalabad_Eden Orchard
10000000,3,1361.2549999999999,3,7346.162181222476,Faisalabad_Eden Orchard
10000000,3,1361.2549999999999,3,7346.162181222476,Faisalabad_Eden Orchard
10000000,3,1361.2549999999999,3,7346.162181222476,Faisalabad_Eden Orchard
10000000,3,1361.2549999999999,3,7346.162181222476,Faisalabad_Eden Orchard
10000000,3,1361.2549999999999,3,7346.162181222476,Faisalabad_Eden Orchard
9500000,3,1361.2549999999999,3,6978.854072161352,Faisalabad_Eden Orchard
7500000,3,1361.2549999999999,3,5509.621635916857,Faisalabad_Eden Orchard
20000000,5,1905.7569999999998,5,10494.517401746394,Faisalabad_Eden Valley
10000000,3,1361.2549999999999,3,7346.162181222476,Faisalabad_Eden Valley
20000000,4,1905.7569999999998,4,10494.517401746394,Faisalabad_Eden Valley
11500000,4,1361.2549999999999,4,8448.086508405846,Faisalabad_Eden Valley
8500000,3,1361.2549999999999,3,6244.237854039105,Faisalabad_Eden Valley
9500000,3,1361.2549999999999,3,6978.854072161352,Faisalabad_Eden Valley
42500000,5,4083.7649999999994,5,10407.063090065174,Faisalabad_Eden Valley
17500000,4,1905.7569999999998,4,9182.702726528094,Faisalabad_Eden Valley
17500000,4,1905.7569999999998,4,9182.702726528094,Faisalabad_Eden Valley
17500000,4,1905.7569999999998,4,9182.702726528094,Faisalabad_Eden Valley
11500000,3,1361.2549999999999,3,8448.086508405846,Faisalabad_Eden Valley
12500000,3,1361.2549999999999,3,9182.702726528094,Faisalabad_Eden Valley
12500000,3,1361.2549999999999,3,9182.702726528094,Faisalabad_Eden Valley
12000000,3,1361.2549999999999,3,8815.39461746697,Faisalabad_Eden Valley
12500000,3,1361.2549999999999,3,9182.702726528094,Faisalabad_Eden Valley
11500000,3,1361.2549999999999,3,8448.086508405846,Faisalabad_Eden Valley
18000000,4,1905.7569999999998,4,9445.065661571754,Faisalabad_Eden Valley
16000000,4,1905.7569999999998,4,8395.613921397115,Faisalabad_Eden Valley
20000000,4,1905.7569999999998,4,10494.517401746394,Faisalabad_Eden Valley
18000000,4,1905.7569999999998,4,9445.065661571754,Faisalabad_Eden Valley
20000000,4,1905.7569999999998,4,10494.517401746394,Faisalabad_Eden Valley
18500000,5,1905.7569999999998,5,9707.428596615415,Faisalabad_Eden Valley
11000000,3,1361.2549999999999,3,8080.778399344723,Faisalabad_Eden Valley
11500000,3,1361.2549999999999,3,8448.086508405846,Faisalabad_Eden Valley
18000000,4,1905.7569999999998,4,9445.065661571754,Faisalabad_Eden Valley
28500000,5,2722.5099999999998,5,10468.281108242027,Faisalabad_Eden Valley
12500000,4,1361.2549999999999,4,9182.702726528094,Faisalabad_Eden Valley
20000000,4,1905.7569999999998,4,10494.517401746394,Faisalabad_Eden Valley
25000000,4,2722.5099999999998,4,9182.702726528094,Faisalabad_Eden Valley
20000000,4,1905.7569999999998,4,10494.517401746394,Faisalabad_Eden Valley
13000000,3,1905.7569999999998,4,6821.436311135156,Faisalabad_Ghulam Mohammad Abad
14500000,3,1361.2549999999999,3,10651.93516277259,Faisalabad_Ghulam Mohammad Abad
2000000,1,6806.275,2,293.846487248899,Faisalabad_Ghulam Mohammad Abad
2500000,1,1361.2549999999999,2,1836.540545305619,Faisalabad_Ghulam Mohammad Abad
20000000,4,1905.7569999999998,4,10494.517401746394,Faisalabad_Ghulam Mohammad Abad
6500000,3,9528.785,4,682.1436311135155,Faisalabad_Ghulam Mohammad Abad
4000000,2,6806.275,2,587.692974497798,Faisalabad_Ghulam Mohammad Abad
3600000,3,6806.275,4,528.9236770480182,Faisalabad_Ghulam Mohammad Abad
4200000,3,4628.267,4,907.4670929745411,Faisalabad_Ghulam Mohammad Abad
55000,2,5445.0,4,10.1010101010101,Faisalabad_Ghulam Mohammad Abad
15000000,3,1361.2549999999999,3,11019.243271833713,Faisalabad_Ghulam Mohammad Abad
6000000,1,11162.291,3,537.5240620406689,Faisalabad_Ghulam Mohammad Abad
7500000,2,1361.2549999999999,4,5509.621635916857,Faisalabad_Ghulam Mohammad Abad
3200000,1,4628.267,2,691.4034994091742,Faisalabad_Ghulam Mohammad Abad
10000000,2,1361.2549999999999,2,7346.162181222476,Faisalabad_Ghulam Mohammad Abad
5500000,1,1361.2549999999999,2,4040.3891996723614,Faisalabad_Green Town
12500000,3,3267.0119999999997,3,3826.1261360533726,Faisalabad_Green Town
3700000,2,816.7529999999999,2,4530.133345087193,Faisalabad_Green Town
4200000,3,6806.275,3,617.077623222688,Faisalabad_Green Town
7800000,3,1905.7569999999998,3,4092.8617866810937,Faisalabad_Green Town
30000000,3,2994.7609999999995,5,10017.493883485195,Faisalabad_Gulberg
20000000,3,1905.7569999999998,5,10494.517401746394,Faisalabad_Gulberg
20000000,2,2178.008,7,9182.702726528094,Faisalabad_Gulberg
30000000,3,2722.5099999999998,6,11019.243271833713,Faisalabad_Gulberg
